City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,timbuktu,16.7735,-3.0074,22.04,15,0,4.84,ML,1701219393
1,suva,-18.1416,178.4415,29.71,74,75,3.09,FJ,1701219393
2,edinburgh of the seven seas,-37.0676,-12.3116,14.61,82,84,7.89,SH,1701219189
3,olonkinbyen,70.9221,-8.7187,1.34,85,100,2.32,SJ,1701219394
4,hawaiian paradise park,19.5933,-154.9731,27.73,72,100,6.69,US,1701219394
5,ribeira grande,38.5167,-28.7,19.32,96,100,4.02,PT,1701219394
6,port elizabeth,-33.918,25.5701,17.16,81,20,7.2,ZA,1701219394
7,adamstown,-25.066,-130.1015,23.12,86,5,7.64,PN,1701219395
8,banjarmasin,-3.3244,114.591,25.08,86,100,1.03,ID,1701219200
9,nova vicosa,-17.8919,-39.3719,24.99,85,16,5.8,BR,1701219395
10,afaahiti,-17.75,-149.2833,28.93,82,100,9.86,PF,1701219395
11,tiksi,71.6872,128.8694,-17.06,91,100,7.4,RU,1701219396
12,manaus,-3.1019,-60.025,29.27,70,0,2.06,BR,1701219396
13,pisco,-13.7,-76.2167,19.03,88,0,9.26,PE,1701219396
14,garbahaarrey,3.3289,42.2209,26.34,67,17,3.78,SO,1701219396
15,keflavik,64.0049,-22.5624,1.95,93,75,4.63,IS,1701219397
16,port-aux-francais,-49.35,70.2167,5.36,97,100,11.03,TF,1701219397
17,papatowai,-46.5619,169.4708,11.75,54,77,6.05,NZ,1701219397
18,tumayr,25.7039,45.868,15.35,51,8,3.94,SA,1701219398
19,lebu,-37.6167,-73.65,11.11,78,0,6.18,CL,1701219398
20,kill devil hills,36.0307,-75.676,6.66,40,0,5.66,US,1701219398
21,aykhal,66.0,111.5,-16.17,94,100,8.06,RU,1701219398
22,constantia,44.1833,28.65,7.61,83,94,9.55,RO,1701219246
23,yemetsk,63.4721,41.7941,-5.89,95,100,2.31,RU,1701219399
24,nabire,-3.3667,135.4833,27.4,75,100,0.99,ID,1701219399
25,grytviken,-54.2811,-36.5092,-0.07,81,100,4.38,GS,1701219399
26,college,64.8569,-147.8028,-4.96,85,100,1.54,US,1701219261
27,katabu,-4.9333,122.5167,31.36,58,100,1.33,ID,1701219400
28,cabo san lucas,22.8909,-109.9124,28.17,71,0,2.06,MX,1701218869
29,holualoa,19.6228,-155.9522,26.39,75,40,5.14,US,1701219400
30,gerede,40.8008,32.1969,0.52,83,100,5.08,TR,1701219400
31,margaret river,-33.95,115.0667,20.53,65,0,2.99,AU,1701219400
32,longyearbyen,78.2186,15.6401,0.91,93,75,1.03,SJ,1701219401
33,labrador city,52.9463,-66.9114,-7.05,86,75,3.6,CA,1701219401
34,la romana,18.4273,-68.9728,24.2,94,20,0.0,DO,1701219401
35,waitangi,-43.9535,-176.5597,13.79,84,100,2.24,NZ,1701219401
36,ushuaia,-54.8,-68.3,8.79,70,40,6.69,AR,1701219401
37,georgetown,5.4112,100.3354,27.96,88,20,0.0,MY,1701219402
